name,review,rating
부탄츄 신촌점,맛있다,5
부탄츄 신촌점,양 엄청 많아요 가성비 좋네요,4
부탄츄 신촌점,역시 일본 라멘은 부탄츄네여~^^,5
부탄츄 신촌점,튀김류가 맛있었음,3.5
부탄츄 신촌점,굿,3.5
부탄츄 신촌점,맛이 좀 변한듯. 특히 챠슈가 다름,4
부탄츄 신촌점,언제나 맛있고 싸게 먹을 수 있는 집 신촌에서 칠천구백원이라니,5
부탄츄 신촌점,제가 숙주랑 마늘을 좋아해서 많이 했더니 진짜 이렇게 많이 주실 줄을 몰랐네용ㅎㅎ 맛있고 양도 많고 가격이 싸서 너무 좋은 것 같아요! 근데 웬만하면 많이 말고 보통 드시는게 좋을 것 같아요! 제가 양이 적은 편이 절대 아닌데 너무 많이 주셔서 너무 아깝지만 많이 남겼어요ㅠㅠ,4
부탄츄 신촌점,굿,5
부탄츄 신촌점,좋아요,4
부탄츄 신촌점,맛있긴 하지만 웨이팅까지 할 집은 아닌듯,4
부탄츄 신촌점,항상맛있어요,5
부탄츄 신촌점,양이 많아요,3
부탄츄 신촌점,굿,3
부탄츄 신촌점,맛있게 먹었고 가성비좋네여,5
부탄츄 신촌점,여기 딱따구리 사는 집인가요?? 진심 밥먹는 내내 옆에서 딱딱딱딱딱딱딱딱딱딱 계속 무한반복이네요. 처음에는 면 털어내는거겠지 기름을 거둬내는거겠지 음식 조리하는데 필요한 과정이겠거니 참았 는데 한두번도 아니고 진심 40분내 내내 쇠꼬챙이 같은걸로 계속 세면대를 내리치는데 진짜 밥먹는데 체할 정도로 딱딱닥딱딱딱딱ㅡㅡ 음식 맛이나 가게 분위기를 떠나서 식사하기 위한 아주 기본적인 환경도 갖춰지지 않음 + 게다가 위생적으로도 청결하지 않음... 다 떨어진 테이블에 그릇 상태도 깨끗하지 않고... 아주 기분 잡치는 식사였음,0.5
부탄츄 신촌점,Jmt,5
부탄츄 신촌점,맛있어용 오이시~,5
부탄츄 신촌점,국물 진짜 찐하고 맛있어요!! 젠모리보다는 보통으로 드시는게 라멘 맛을 느끼기 좋을것 같아요 양도 많고 면추가랑 공기밥 무료 너무 좋네용 재방문 의사 100%!!,5
부탄츄 신촌점,라면 최고죠,4
부탄츄 신촌점,혼밥하기 편해요,5
부탄츄 신촌점,라면에서 꾸리꾸리한 이상한 냄새가 나요,0.5
부탄츄 신촌점,여름기간한정 매운츠케멘 맛나요,4.5
부탄츄 신촌점,가성비 좋고 맛있어요~ 근데 매장 안이 덥고 조금 냄새가 나긴해요,5
부탄츄 신촌점,먹다보니 국물이 넘 느끼했네요 ㅠ,3
부탄츄 신촌점,좋아요,5
부탄츄 신촌점,좋아요,4
부탄츄 신촌점,맛있어요~^^,5
부탄츄 신촌점,웨이팅이 너무긴거빼면 다 좋아요 제입맛엔 좀 싱거워서 소스추가해서 먹었네요,4.5
부탄츄 신촌점,유명하다고 해서 찾아갔는데 제 기준에선 평범했던 거 같아요!시 사리추가가 되는 점은 좋았도 국물도 진해서 맛있습니다!! 살짝 짜긴 하지만 라멘이 대부분은 그랬던 듯...,3
부탄츄 신촌점,언제 먹어도 맛있고 푸짐해요,5
부탄츄 신촌점,맛있어요,5
부탄츄 신촌점,그냥 맛있습니다!,5
부탄츄 신촌점,국물이 엄청 진해요. 호불호가 갈릴거같아요ㅋㅋ 시장에서 먹는 돼지국밥 국물이에요 ㅋㅋㅋ 가라아케는 그냥 그런데 만두가 맛있어요,5
부탄츄 신촌점,신촌 방문할 일 있으면 꼭 들르는 곳입니다.,5
부탄츄 신촌점,늘 맛있어요!!!,5
부탄츄 신촌점,맛있어요!,4.5
부탄츄 신촌점,잘먹었습니다.!,4.5
부탄츄 신촌점,토코시오라멘 이었는데 맛있었어요 다만 너무 진해서 시오라멘같진 않았어요. 담엔 젤 연한 걸로 먹어봐야겠어요,4.5
부탄츄 신촌점,존맛탱,5
부탄츄 신촌점,라멘맛있어요 숙주랑 파 추가해서 먹었는데 개인적으로 숙주는 추가안해도될거같음.. 면과 조화가 깨지는 느낌이랄까요 근데 가라아게는 별로였어요 다음엔 다른거먹어보려고요 ㅎ,4
부탄츄 신촌점,조아요,4.5
부탄츄 신촌점,👍👍👍,2.5
부탄츄 신촌점,제 입맛엔 별로였어요,2.5
부탄츄 신촌점,좋아요,5
부탄츄 신촌점,맛나요,4
부탄츄 신촌점,맛나요,5
부탄츄 신촌점,좋어요,4
부탄츄 신촌점,굿,5
부탄츄 신촌점,굿,5
부탄츄 신촌점,조아요,4.5
부탄츄 신촌점,맛있어요 다음에오면 대파는 더 추가하려고요,5
부탄츄 신촌점,푸짐해요,5
부탄츄 신촌점,맛있어요,5
부탄츄 신촌점,조아요,5
부탄츄 신촌점,면이 덜 익혀진채로 나왔어요.,1.5
부탄츄 신촌점,국물이 너무 느끼...,2.5
부탄츄 신촌점,제 입맛에는 너무 짰습니다...,2
부탄츄 신촌점,돈코츠라면이 진한게 쥭여요,4
부탄츄 신촌점,라멘 국물도 맛있었는데 직원분 넘 친절해서 좋았어요!! 앞치마도 생각 못했는데 따로 챙겨주셔서 감사했습니다 :),5
부탄츄 신촌점,좋아요♡,5
부탄츄 신촌점,느끼함 ㅜ 육수에 마늘 넘 많음,3
부탄츄 신촌점,돈코츠라멘 맛집,4
부탄츄 신촌점,맛도 좋고 면사리 무한 리필 짱!,5
부탄츄 신촌점,좋습니닼ㅋ,5
부탄츄 신촌점,좋아요,4.5
부탄츄 신촌점,라멘이 아주 맛있어요!,5
부탄츄 신촌점,재방문 안할 것 같아요,0.5
부탄츄 신촌점,후기,3
부탄츄 신촌점,국물이 너무 짜서 다남겼어요 ㅠ,1.5
부탄츄 신촌점,좋아요,4
부탄츄 신촌점,짱,5
부탄츄 신촌점,ㄱ굿,4
부탄츄 신촌점,좋아요,4
부탄츄 신촌점,예전보다 국물이 묽어진 느낌? 그래도 그냥저냥한 라멘집보다 맛있고 저렴!,4
부탄츄 신촌점,서비스 좋고 맛도 있지만 매장 내에서도 우산을 분실할 수 있네요(3/20 저녁 식사 시 분실 됨 ㅠㅠ),4.5
부탄츄 신촌점,엄청 배부르게 먹었어요; 담엔 적게 먹어야겠네요;ㅎㅎㅎ,4
부탄츄 신촌점,양도 많고 맛있어요,4.5
부탄츄 신촌점,맛있어요,4
부탄츄 신촌점,너무맛있어요!! 1번 추천!! 그리고 직원분들도 너무 친절하세요^^,5
부탄츄 신촌점,신촌점이 최애에요!@@,5
부탄츄 신촌점,라멘맛이 이런거라면 ㅎ,3
부탄츄 신촌점,나름 맛있는 집. 특히 젠모리로 시켜먹어야 진짜다. 가끔 나오는 한정메뉴는 나랑은 별로 안맞는듯,4
부탄츄 신촌점,라멘 맛집!,5
부탄츄 신촌점,미소라멘 짱맛,5
부탄츄 신촌점,아주친절하시고 맛있습니다만..냄새에 민감하신 분들은 신중히 오셔야할듯싶어요!,4
부탄츄 신촌점,겨울 한정 메뉴 미소라멘을 먹었는데 맛났어요!,5
부탄츄 신촌점,라멘 맛있어요 만두는 생강맛이 심해요,3.5
부탄츄 신촌점,직원분도 친절하시고 음식도 맛있었어요,5
부탄츄 신촌점,맛있다,4
부탄츄 신촌점,평범했어요,4
부탄츄 신촌점,언제나 진한국물의 부탄츄,5
부탄츄 신촌점,양도 엄청많고 맛도 괜찮아요,4.5
부탄츄 신촌점,엄청 맛있었대요 면도 꼬들 간도 적당ㅎㅎ 일본온기분이예요ㅎㅎ,5
부탄츄 신촌점,굿,4
부탄츄 신촌점,맛있고 친절해요~,5
부탄츄 신촌점,주문누락..너무하심 음식은 맛나요,3
부탄츄 신촌점,좋아요,3.5
부탄츄 신촌점,좀 짜요,3
부탄츄 신촌점,깊은 국물의 짱맛 일본라멘,5
부탄츄 신촌점,맛있는데 좀 더 친절했음 좋겠어요. 전에는 입구에 들어서자마자 활기가 느껴졌는데 지금은 엄청 쳐지는 분위기.,2
부탄츄 신촌점,정말 오랫만에 왔는데 옛날처럼 활기차고 친절한 그런 느낌은 없어 아쉽네요.,4
부탄츄 신촌점,완전짜고 맛없고 주문도 잘못나오고...,0.5
부탄츄 신촌점,간만에 먹는 일본 라멘.. 맛있어요. 저렴하게 세트도 먹을수 있어 더욱 만족스러운,4
부탄츄 신촌점,교자 너무 맛있어요!!!ㅠ,4.5
부탄츄 신촌점,ㅇㅇㅇ,3
부탄츄 신촌점,역시 부탄츄는 아묻따 돈코츠라멘이쥬,5
부탄츄 신촌점,맛있고 리필되서 좋아요,4.5
부탄츄 신촌점,친절하고 정말 맛있어요!!!,5
부탄츄 신촌점,맛있어요,3.5
